name,alternate name,common set
anarcho-naturism,anrch-naturism,1
church of satan,,1
enochian magic,,1
traditionalist conservatism,new cnsrvtsm,1
christian democracy,chr democracy,1
business ethics,,1
shabakism,,1
pan-arabism,,1
automatism,,1
kaizen,,1
henotheism,,1
danish philosophy,danish phil,1
ultranationalism,ultra ntnlsm,1
national conservatism,ntnl cnsrvtsm,1
civil libertarianism,civil lbrtrnsm,1
christology,,1
political lesbianism,poli lesbianism,1
post-marxism,,1
fraternitas saturni,frat saturni,1
mathematicism,,1
freudo-marxism,,1
aesthetics,,1
philosophy of common sense,scottish rlsm,1
marxist humanism,marx humanism,1
philosophical satanism,phil satanism,1
democratic confederalism,demo cnfdrlsm,1
netocracy,,1
philosophical anthropology,phil anthrplgy,1
nehruism,,0
neoplatonism,,1
hegemonism,,1
philosophy of eating,eating phil,1
neo-confederate,,1
neotaoism,,1
fanaticism,,1
axiology,,1
indian logic,,1
dominionism,,1
mechanism,,1
left-wing nationalism,leftist ntnlsm,1
ascriptivism,,1
heterophenomenology,heterophenomism,1
denialism,,1
postmodernism,,1
ordo templi orientis,OTO,0
anti-capitalism,,1
intentionalism,,1
neurotheology,,1
sensualism,,1
speciesism,,1
perfectionism,,1
eschatology,,1
cogito ergo sum,,1
averroism,,1
voluntaryism,,1
ancient mystical order rosae crucis,AMORC,0
anti-fascism,,1
environmentalism,envrnmntlsm,1
intrinsicism,,1
autonomism,,1
scottish nationalism,scottish ntnlsm,1
philosophy of engineering,engineer phil,1
dualistic cosmology,dual cosmology,1
de leonism,,1
participism,,1
the philosophy of chance,chance phil,1
vitalism,,1
eco-nationalism,,1
queer nationalism,queer ntnlsm,1
despotism,,1
libertarian paternalism,soft ptrnlsm,1
psychologism,,1
structural marxism,structural marx,1
paleoconservatism,paleo cnsrvtsm,1
particracy,,1
transhumanism,,1
unitarian universalism,untrn unvrslsm,1
theistic satanism,thstc satanism,1
pancritical rationalism,pancrit rtnlsm,1
islamic anarchism,islamic anrchsm,1
free market environmentalism,free mkt evmtsm,1
feminist philosophy,feminist phil,1
christian existentialism,chr exstntlsm,1
panpsychism,,1
externism,,1
renaissance humanism,rnsnc humanism,1
moral absolutism,moral absltsm,1
semipelagianism,,1
accidentalism,,1
instrumentalism,,1
open-source religion,opn-src rlgn,1
inductive reasoning,inductive rsng,1
experimentalism,,1
british fascism,,1
defeatism,,1
labor zionism,,1
christian nationalism,chr ntnlsm,1
biblical literalism,biblicism,1
continental philosophy,cntl phil,1
proselytism,,1
neo-fascism,,1
council communism,council cmnsm,1
kleptocracy,,1
essentialism,,1
na\u00efve realism,na\u00efve rlsm,1
post-materialism,post-mtrlsm,1
